"2017-10-09 19:09:39 [main] INFO  p.k.m.ModernDockerizedLibraryApplication - Starting ModernDockerizedLibraryApplication on konrad-Lenovo-IdeaPad-Z510 with PID 11317 (/home/konrad/Develop/Projects/ModernDockerizedLibrary/target/classes started by konrad in /home/konrad/Develop/Projects/ModernDockerizedLibrary)
""2017-10-09 19:11:38 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@52e7a6b2: startup date [Mon Oct 09 19:11:38 CEST 2017]; root of context hierarchy
""2017-10-09 19:11:41 [main] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 8080 (http)
""2017-10-09 19:11:41 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2017-10-09 19:11:41 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.16
""2017-10-09 19:11:41 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2017-10-09 19:11:41 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
""2017-10-09 19:11:41 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
""2017-10-09 19:11:41 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
""2017-10-09 19:11:41 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
""2017-10-09 19:11:41 [localhost-startStop-1] INFO  o.s.b.w.s.DelegatingFilterProxyRegistrationBean - Mapping filter: 'springSecurityFilterChain' to: [/*]
""2017-10-09 19:11:41 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/]
""2017-10-09 19:11:42 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Building JPA container EntityManagerFactory for persistence unit 'default'
""2017-10-09 19:11:42 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
""2017-10-09 19:11:42 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.0.12.Final}
""2017-10-09 19:11:42 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
""2017-10-09 19:11:42 [main] INFO  org.hibernate.cfg.Environment - HHH000021: Bytecode provider name : javassist
""2017-10-09 19:11:42 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
""2017-10-09 19:11:42 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
""2017-10-09 19:11:42 [main] INFO  o.h.tool.hbm2ddl.SchemaUpdate - HHH000228: Running hbm2ddl schema update
""2017-10-09 19:11:43 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
""2017-10-09 19:11:44 [main] INFO  o.h.h.i.QueryTranslatorFactoryInitiator - HHH000397: Using ASTQueryTranslatorFactory
""2017-10-09 19:11:44 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1f1ffc18, org.springframework.security.web.context.SecurityContextPersistenceFilter@5ac7550a, org.springframework.security.web.header.HeaderWriterFilter@dd77e0d, org.springframework.security.web.authentication.logout.LogoutFilter@55574295, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@3acc65f0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2114eb1a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@66a99584, org.springframework.security.web.authentication.rememberme.RememberMeAuthenticationFilter@29431f61, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5a4e492c, org.springframework.security.web.session.SessionManagementFilter@331ad6eb, org.springframework.security.web.access.ExceptionTranslationFilter@2dbcee03, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@a5d23c9]
""2017-10-09 19:11:46 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
""2017-10-09 19:11:46 [main] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat started on port(s): 8080 (http)
""2017-10-09 19:11:46 [main] INFO  p.k.m.ModernDockerizedLibraryApplication - Started ModernDockerizedLibraryApplication in 9.349 seconds (JVM running for 10.365)
""2017-10-09 19:11:49 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
""2017-10-09 19:12:03 [http-nio-8080-exec-10] INFO  p.k.m.c.ShoppingCartController - New book id=3 just added to user admintest cart
""2017-10-09 19:13:02 [http-nio-8080-exec-8] INFO  p.k.m.c.ShoppingCartController - New book id=3 just added to user admintest cart
""2017-10-09 19:13:18 [http-nio-8080-exec-2] INFO  p.k.m.c.ShoppingCartController - New book id=1 just added to user admintest cart
""2017-10-09 19:14:53 [Thread-22] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@52e7a6b2: startup date [Mon Oct 09 19:11:38 CEST 2017]; root of context hierarchy
""2017-10-09 19:14:53 [Thread-22] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
""2017-10-09 19:14:53 [Thread-22] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
""2017-10-09 19:14:57 [main] INFO  p.k.m.ModernDockerizedLibraryApplication - Starting ModernDockerizedLibraryApplication on konrad-Lenovo-IdeaPad-Z510 with PID 11861 (/home/konrad/Develop/Projects/ModernDockerizedLibrary/target/classes started by konrad in /home/konrad/Develop/Projects/ModernDockerizedLibrary)
""2017-10-09 19:14:57 [main] INFO  p.k.m.ModernDockerizedLibraryApplication - No active profile set, falling back to default profiles: default
""2017-10-09 19:14:58 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@4a07d605: startup date [Mon Oct 09 19:14:58 CEST 2017]; root of context hierarchy
